蒸馏超参数搜索结果
======================================================================

最佳配置: T=10.0, α=0.1, MAE=0.100877

所有配置（按MAE排序）:
----------------------------------------------------------------------
排名    温度       Alpha    验证MAE       
----------------------------------------------------------------------
1     10.00    0.10     0.100877    
2     3.00     0.50     0.102798    
3     10.00    0.30     0.102919    
4     1.00     0.70     0.105604    
5     5.00     0.50     0.106778    
6     2.00     0.10     0.107284    
7     5.00     0.90     0.107761    
8     1.00     0.10     0.108648    
9     5.00     0.10     0.108698    
10    2.00     0.70     0.108829    
11    10.00    0.70     0.109273    
12    1.00     0.90     0.109871    
13    3.00     0.30     0.110534    
14    1.00     0.30     0.110766    
15    3.00     0.90     0.110822    
16    2.00     0.50     0.110864    
17    10.00    0.50     0.111711    
18    5.00     0.70     0.111726    
19    3.00     0.70     0.112031    
20    2.00     0.30     0.112100    
21    1.00     0.50     0.112182    
22    10.00    0.90     0.113341    
23    2.00     0.90     0.113951    
24    3.00     0.10     0.114219    
25    5.00     0.30     0.115818    
