==========================================================================================
肘部位置约束训练
==========================================================================================
改进:
  1. 同时约束肘部位置 (weight=0.3)
  2. 同时约束末端位置 (weight=0.7)
  3. 提高中间关节精度

加载ACCAD+CMU数据集...
加载窗口化数据集: /data0/wwb_data/ygx_data/data_ygx_pose+dof/ACCAD_CMU_merged_training_data.npz
  样本数: 3614699
  窗口大小: 10
  输入维度（机器人角度）: 7
  输出维度（人位姿+机器人角度）: 14
加载窗口化数据集: /data0/wwb_data/ygx_data/data_ygx_pose+dof/ACCAD_CMU_merged_training_data.npz
  样本数: 3614699
  窗口大小: 10
  输入维度（机器人角度）: 7
  输出维度（人位姿+机器人角度）: 14
训练集样本数: 3253229
验证集样本数: 361470
训练集数据增强: False
验证集数据增强: False（始终关闭）

创建模型: elbow_constraint_ik
模型参数量: 1.47M

加载FK模型（支持肘部位置计算）...

开始训练（300 epochs）...
==========================================================================================
 Epoch |  Train Loss |    Val Loss |  Elbow(mm) |    End(mm) |  IK RMSE(°) |   Val R² |        LR
------------------------------------------------------------------------------------------
     0 |    0.489462 |    0.489112 |     121.32 |     349.24 |       39.36 |  -1.0957 |  0.000200
     1 |    0.079773 |    0.068065 |      45.63 |     100.87 |       14.62 |   0.7110 |  0.000400
     2 |    0.065890 |    0.062584 |      44.33 |      99.03 |       14.01 |   0.7345 |  0.000600
     3 |    0.060281 |    0.057369 |      43.13 |      96.26 |       13.41 |   0.7568 |  0.000800
     4 |    0.055981 |    0.052842 |      41.97 |      91.69 |       12.86 |   0.7761 |  0.001000
     5 |    0.052290 |    0.050278 |      40.06 |      89.03 |       12.55 |   0.7870 |  0.001200
     6 |    0.048994 |    0.047658 |      39.32 |      88.00 |       12.21 |   0.7983 |  0.001400
     7 |    0.046128 |    0.044518 |      38.20 |      84.25 |       11.80 |   0.8116 |  0.001600
     8 |    0.043819 |    0.042423 |      37.81 |      83.65 |       11.52 |   0.8205 |  0.001800
     9 |    0.041744 |    0.043034 |      37.33 |      82.74 |       11.60 |   0.8179 |  0.002000
    10 |    0.040106 |    0.040054 |      36.71 |      81.34 |       11.19 |   0.8307 |  0.002000
    11 |    0.037692 |    0.036778 |      35.31 |      77.69 |       10.72 |   0.8446 |  0.002000
    12 |    0.035700 |    0.035929 |      34.76 |      76.75 |       10.59 |   0.8482 |  0.001999
    13 |    0.034038 |    0.033769 |      33.71 |      74.60 |       10.27 |   0.8574 |  0.001999
    14 |    0.032513 |    0.033012 |      33.50 |      74.04 |       10.15 |   0.8606 |  0.001999
    15 |    0.031131 |    0.031942 |      33.29 |      73.48 |        9.98 |   0.8653 |  0.001998
    16 |    0.029969 |    0.030139 |      32.39 |      71.63 |        9.69 |   0.8729 |  0.001997
    17 |    0.029029 |    0.029816 |      32.41 |      71.52 |        9.64 |   0.8742 |  0.001996
    18 |    0.028154 |    0.028108 |      31.45 |      69.64 |        9.36 |   0.8815 |  0.001995
    19 |    0.027317 |    0.028184 |      31.44 |      69.39 |        9.37 |   0.8812 |  0.001994
    20 |    0.026542 |    0.027407 |      31.40 |      69.41 |        9.24 |   0.8845 |  0.001993
    21 |    0.025927 |    0.027584 |      31.41 |      69.07 |        9.27 |   0.8837 |  0.001992
    22 |    0.025093 |    0.027938 |      31.46 |      69.50 |        9.33 |   0.8822 |  0.001990
    23 |    0.024721 |    0.025464 |      30.70 |      67.59 |        8.90 |   0.8928 |  0.001989
    24 |    0.024093 |    0.024843 |      30.00 |      66.55 |        8.79 |   0.8954 |  0.001987
    25 |    0.023653 |    0.025513 |      30.40 |      67.02 |        8.91 |   0.8925 |  0.001985
    26 |    0.023114 |    0.024246 |      29.95 |      66.09 |        8.69 |   0.8979 |  0.001983
    27 |    0.022745 |    0.024234 |      29.65 |      65.52 |        8.69 |   0.8979 |  0.001981
    28 |    0.022207 |    0.022799 |      29.04 |      64.12 |        8.42 |   0.9040 |  0.001979
    29 |    0.021919 |    0.022913 |      28.75 |      63.56 |        8.45 |   0.9035 |  0.001977
    30 |    0.021454 |    0.022709 |      29.04 |      64.06 |        8.41 |   0.9044 |  0.001974
    31 |    0.021103 |    0.022114 |      28.65 |      63.22 |        8.30 |   0.9069 |  0.001972
    32 |    0.020752 |    0.024086 |      29.35 |      65.17 |        8.66 |   0.8985 |  0.001969
    33 |    0.020520 |    0.021202 |      28.04 |      61.93 |        8.12 |   0.9108 |  0.001966
    34 |    0.020246 |    0.021841 |      28.42 |      62.78 |        8.24 |   0.9081 |  0.001964
    35 |    0.019973 |    0.021117 |      28.13 |      62.23 |        8.10 |   0.9112 |  0.001961
    36 |    0.019591 |    0.020823 |      27.65 |      60.85 |        8.05 |   0.9123 |  0.001958
    37 |    0.019421 |    0.020192 |      27.51 |      60.92 |        7.92 |   0.9151 |  0.001954
    38 |    0.019178 |    0.021501 |      28.18 |      62.12 |        8.18 |   0.9095 |  0.001951
    39 |    0.018960 |    0.022748 |      29.23 |      64.14 |        8.42 |   0.9042 |  0.001948
    40 |    0.018715 |    0.020151 |      27.41 |      60.64 |        7.92 |   0.9152 |  0.001944
    41 |    0.018530 |    0.020048 |      27.30 |      60.31 |        7.90 |   0.9156 |  0.001941
    42 |    0.018288 |    0.020385 |      27.62 |      61.26 |        7.96 |   0.9142 |  0.001937
    43 |    0.018214 |    0.020515 |      27.55 |      61.08 |        7.99 |   0.9136 |  0.001933
    44 |    0.017830 |    0.021095 |      28.17 |      62.18 |        8.10 |   0.9112 |  0.001929
    45 |    0.017735 |    0.020096 |      27.68 |      61.11 |        7.90 |   0.9155 |  0.001925
    46 |    0.017456 |    0.019743 |      27.43 |      60.47 |        7.84 |   0.9169 |  0.001921
    47 |    0.017341 |    0.019176 |      26.74 |      59.06 |        7.72 |   0.9193 |  0.001916
    48 |    0.017113 |    0.018873 |      26.56 |      58.80 |        7.66 |   0.9206 |  0.001912
    49 |    0.017030 |    0.018644 |      26.78 |      59.26 |        7.61 |   0.9216 |  0.001908
    50 |    0.016826 |    0.018596 |      26.58 |      59.17 |        7.60 |   0.9218 |  0.001903
    51 |    0.016685 |    0.018024 |      26.29 |      58.24 |        7.49 |   0.9242 |  0.001898
    52 |    0.016446 |    0.018271 |      26.27 |      58.18 |        7.54 |   0.9232 |  0.001893
    53 |    0.016450 |    0.017681 |      25.92 |      57.32 |        7.41 |   0.9257 |  0.001889
    54 |    0.016176 |    0.017259 |      25.69 |      56.92 |        7.32 |   0.9274 |  0.001884
    55 |    0.016178 |    0.017994 |      26.06 |      57.84 |        7.48 |   0.9243 |  0.001878
    56 |    0.015888 |    0.016552 |      25.26 |      55.95 |        7.17 |   0.9304 |  0.001873
    57 |    0.015845 |    0.016840 |      25.40 |      56.25 |        7.23 |   0.9292 |  0.001868
    58 |    0.015648 |    0.017453 |      25.94 |      57.65 |        7.36 |   0.9266 |  0.001862
    59 |    0.015598 |    0.016736 |      25.39 |      56.19 |        7.21 |   0.9296 |  0.001857
    60 |    0.015444 |    0.017019 |      25.63 |      56.72 |        7.27 |   0.9285 |  0.001851
    61 |    0.015361 |    0.017170 |      25.85 |      57.26 |        7.30 |   0.9279 |  0.001845
    62 |    0.015282 |    0.016546 |      25.31 |      56.16 |        7.17 |   0.9305 |  0.001840
    63 |    0.015065 |    0.016431 |      25.19 |      55.94 |        7.15 |   0.9309 |  0.001834
    64 |    0.015052 |    0.016849 |      25.70 |      56.72 |        7.24 |   0.9292 |  0.001828
    65 |    0.014856 |    0.016187 |      24.84 |      55.16 |        7.09 |   0.9319 |  0.001822
    66 |    0.014858 |    0.016444 |      25.11 |      55.63 |        7.15 |   0.9309 |  0.001815
    67 |    0.014578 |    0.016367 |      25.08 |      55.58 |        7.13 |   0.9312 |  0.001809
    68 |    0.014572 |    0.016774 |      25.28 |      55.79 |        7.22 |   0.9294 |  0.001803
    69 |    0.014380 |    0.015674 |      24.68 |      54.63 |        6.98 |   0.9341 |  0.001796
    70 |    0.014400 |    0.016230 |      25.04 |      55.48 |        7.10 |   0.9318 |  0.001789
    71 |    0.014284 |    0.015975 |      24.94 |      55.40 |        7.04 |   0.9329 |  0.001783
    72 |    0.014197 |    0.016009 |      25.02 |      55.49 |        7.05 |   0.9327 |  0.001776
    73 |    0.014051 |    0.015960 |      24.97 |      55.40 |        7.04 |   0.9329 |  0.001769
    74 |    0.013975 |    0.016160 |      25.15 |      55.44 |        7.09 |   0.9320 |  0.001762
    75 |    0.013943 |    0.015400 |      24.50 |      54.24 |        6.92 |   0.9353 |  0.001755
    76 |    0.013843 |    0.015451 |      24.41 |      54.04 |        6.93 |   0.9350 |  0.001748
    77 |    0.013744 |    0.015550 |      24.55 |      54.54 |        6.95 |   0.9346 |  0.001741
    78 |    0.013554 |    0.015638 |      24.64 |      54.72 |        6.97 |   0.9343 |  0.001733
    79 |    0.013558 |    0.016178 |      25.19 |      55.62 |        7.09 |   0.9320 |  0.001726
    80 |    0.013510 |    0.015879 |      24.69 |      54.72 |        7.02 |   0.9332 |  0.001719
    81 |    0.013391 |    0.016125 |      24.98 |      55.35 |        7.08 |   0.9322 |  0.001711
    82 |    0.013257 |    0.015362 |      24.42 |      54.24 |        6.91 |   0.9354 |  0.001703
    83 |    0.013216 |    0.014998 |      24.19 |      53.44 |        6.83 |   0.9370 |  0.001696
    84 |    0.013117 |    0.014849 |      24.01 |      53.16 |        6.79 |   0.9376 |  0.001688
    85 |    0.013095 |    0.015410 |      24.30 |      54.01 |        6.92 |   0.9352 |  0.001680
    86 |    0.012996 |    0.014884 |      24.12 |      53.69 |        6.80 |   0.9374 |  0.001672
    87 |    0.012919 |    0.014159 |      23.57 |      52.28 |        6.63 |   0.9405 |  0.001664
    88 |    0.012904 |    0.014597 |      23.84 |      52.93 |        6.73 |   0.9387 |  0.001656
    89 |    0.012729 |    0.015831 |      24.79 |      54.70 |        7.02 |   0.9334 |  0.001647
    90 |    0.012657 |    0.015139 |      24.40 |      54.14 |        6.86 |   0.9364 |  0.001639
    91 |    0.012679 |    0.014191 |      23.64 |      52.18 |        6.64 |   0.9404 |  0.001631
    92 |    0.012474 |    0.013834 |      23.32 |      51.72 |        6.56 |   0.9419 |  0.001622
    93 |    0.012489 |    0.013946 |      23.35 |      51.77 |        6.58 |   0.9414 |  0.001614
    94 |    0.012453 |    0.014232 |      23.51 |      52.15 |        6.65 |   0.9402 |  0.001605
    95 |    0.012249 |    0.013663 |      23.09 |      51.31 |        6.51 |   0.9426 |  0.001597
    96 |    0.012268 |    0.014518 |      23.96 |      52.99 |        6.72 |   0.9390 |  0.001588
    97 |    0.012127 |    0.013944 |      23.39 |      52.03 |        6.58 |   0.9414 |  0.001579
    98 |    0.012147 |    0.014102 |      23.50 |      52.19 |        6.62 |   0.9407 |  0.001570
    99 |    0.012054 |    0.013957 |      23.39 |      51.85 |        6.58 |   0.9414 |  0.001561
   100 |    0.011957 |    0.014575 |      23.66 |      52.52 |        6.73 |   0.9387 |  0.001552
   101 |    0.011934 |    0.013615 |      23.24 |      51.61 |        6.50 |   0.9428 |  0.001543
   102 |    0.011852 |    0.013881 |      23.22 |      51.61 |        6.57 |   0.9417 |  0.001534
   103 |    0.011794 |    0.013864 |      23.29 |      51.84 |        6.56 |   0.9418 |  0.001525
   104 |    0.011748 |    0.013531 |      23.01 |      51.06 |        6.48 |   0.9431 |  0.001516
   105 |    0.011627 |    0.013529 |      22.99 |      51.02 |        6.48 |   0.9431 |  0.001506
   106 |    0.011607 |    0.013430 |      22.98 |      51.05 |        6.46 |   0.9436 |  0.001497
   107 |    0.011531 |    0.013935 |      23.45 |      51.94 |        6.58 |   0.9415 |  0.001487
   108 |    0.011473 |    0.014580 |      23.80 |      52.66 |        6.73 |   0.9387 |  0.001478
   109 |    0.011460 |    0.012988 |      22.62 |      50.27 |        6.35 |   0.9454 |  0.001468
   110 |    0.011383 |    0.012990 |      22.56 |      50.05 |        6.35 |   0.9454 |  0.001459
==========================================================================================
肘部位置约束训练
==========================================================================================
改进:
  1. 同时约束肘部位置 (weight=0.3)
  2. 同时约束末端位置 (weight=0.7)
  3. 提高中间关节精度

加载ACCAD+CMU数据集...
加载窗口化数据集: /data0/wwb_data/ygx_data/data_ygx_pose+dof/ACCAD_CMU_merged_training_data.npz
==========================================================================================
肘部位置约束训练
==========================================================================================
改进:
  1. 同时约束肘部位置 (weight=0.5)
  2. 同时约束末端位置 (weight=0.5)
  3. 提高中间关节精度

加载ACCAD+CMU数据集...
加载窗口化数据集: /data0/wwb_data/ygx_data/data_ygx_pose+dof/ACCAD_CMU_merged_training_data.npz
  样本数: 3614699
  窗口大小: 10
  输入维度（机器人角度）: 7
  输出维度（人位姿+机器人角度）: 14
加载窗口化数据集: /data0/wwb_data/ygx_data/data_ygx_pose+dof/ACCAD_CMU_merged_training_data.npz
  样本数: 3614699
  窗口大小: 10
  输入维度（机器人角度）: 7
  输出维度（人位姿+机器人角度）: 14
训练集样本数: 3253229
验证集样本数: 361470
训练集数据增强: False
验证集数据增强: False（始终关闭）

创建模型: elbow_constraint_ik
模型参数量: 1.47M

加载FK模型（支持肘部位置计算）...

开始训练（77 epochs）...
==========================================================================================
 Epoch |  Train Loss |    Val Loss |  Elbow(mm) |    End(mm) |  IK RMSE(°) |   Val R² |        LR
------------------------------------------------------------------------------------------
     0 |    0.485450 |    0.485103 |     121.32 |     349.24 |       39.36 |  -1.0957 |  0.000200
==========================================================================================
肘部位置约束训练
==========================================================================================
改进:
  1. 同时约束肘部位置 (weight=0.5)
  2. 同时约束末端位置 (weight=0.5)
  3. 提高中间关节精度

加载ACCAD+CMU数据集...
加载窗口化数据集: /data0/wwb_data/ygx_data/data_ygx_pose+dof/ACCAD_CMU_merged_training_data.npz
  样本数: 3614699
  窗口大小: 10
  输入维度（机器人角度）: 7
  输出维度（人位姿+机器人角度）: 14
加载窗口化数据集: /data0/wwb_data/ygx_data/data_ygx_pose+dof/ACCAD_CMU_merged_training_data.npz
  样本数: 3614699
  窗口大小: 10
  输入维度（机器人角度）: 7
  输出维度（人位姿+机器人角度）: 14
训练集样本数: 3253229
验证集样本数: 361470
训练集数据增强: False
验证集数据增强: False（始终关闭）

创建模型: elbow_constraint_ik
模型参数量: 1.47M

加载FK模型（支持肘部位置计算）...

开始训练（77 epochs）...
==========================================================================================
 Epoch |  Train Loss |    Val Loss |  Elbow(mm) |    End(mm) |  IK RMSE(°) |   Val R² |        LR
------------------------------------------------------------------------------------------
     0 |    0.485450 |    0.485103 |     121.32 |     349.24 |       39.36 |  -1.0957 |  0.000200
     1 |    0.079046 |    0.067482 |      45.91 |     101.37 |       14.62 |   0.7108 |  0.000400
     2 |    0.065262 |    0.061693 |      44.29 |      99.19 |       13.98 |   0.7358 |  0.000600
     3 |    0.059742 |    0.056771 |      42.67 |      94.78 |       13.40 |   0.7570 |  0.000800
     4 |    0.055428 |    0.052640 |      41.69 |      91.45 |       12.90 |   0.7748 |  0.001000
     5 |    0.051696 |    0.048738 |      39.88 |      88.28 |       12.41 |   0.7916 |  0.001200
==========================================================================================
肘部位置约束训练
==========================================================================================
改进:
  1. 同时约束肘部位置 (weight=0.5)
  2. 同时约束末端位置 (weight=0.5)
  3. 提高中间关节精度

加载ACCAD+CMU数据集...
加载窗口化数据集: /data0/wwb_data/ygx_data/data_ygx_pose+dof/ACCAD_CMU_merged_training_data.npz
  样本数: 3614699
  窗口大小: 10
  输入维度（机器人角度）: 7
  输出维度（人位姿+机器人角度）: 14
加载窗口化数据集: /data0/wwb_data/ygx_data/data_ygx_pose+dof/ACCAD_CMU_merged_training_data.npz
  样本数: 3614699
  窗口大小: 10
  输入维度（机器人角度）: 7
  输出维度（人位姿+机器人角度）: 14
训练集样本数: 3253229
验证集样本数: 361470
训练集数据增强: False
验证集数据增强: False（始终关闭）

创建模型: elbow_constraint_ik
模型参数量: 1.47M

加载FK模型（支持肘部位置计算）...
✓ Pinocchio模型初始化成功
  URDF: /home/bonuli/xr_teleoperate/assets/g1/g1_body29_hand14.urdf
  关节数: 7
  肘部frame: left_elbow_link (ID: 50)
  腕部frame: left_wrist_yaw_link (ID: 56)

开始训练（77 epochs）...
==========================================================================================
 Epoch |  Train Loss |    Val Loss |  Elbow(mm) |    End(mm) |  IK RMSE(°) |   Val R² |        LR
------------------------------------------------------------------------------------------
==========================================================================================
肘部位置约束训练
==========================================================================================
改进:
  1. 同时约束肘部位置 (weight=0.5)
  2. 同时约束末端位置 (weight=0.5)
  3. 提高中间关节精度

加载ACCAD+CMU数据集...
加载窗口化数据集: /data0/wwb_data/ygx_data/data_ygx_pose+dof/ACCAD_CMU_merged_training_data.npz
  样本数: 3614699
  窗口大小: 10
  输入维度（机器人角度）: 7
  输出维度（人位姿+机器人角度）: 14
加载窗口化数据集: /data0/wwb_data/ygx_data/data_ygx_pose+dof/ACCAD_CMU_merged_training_data.npz
  样本数: 3614699
  窗口大小: 10
  输入维度（机器人角度）: 7
  输出维度（人位姿+机器人角度）: 14
训练集样本数: 3253229
验证集样本数: 361470
训练集数据增强: False
验证集数据增强: False（始终关闭）

创建模型: elbow_constraint_ik
模型参数量: 1.47M

加载FK模型（支持肘部位置计算）...
✓ Pinocchio模型初始化成功
  URDF: /home/bonuli/xr_teleoperate/assets/g1/g1_body29_hand14.urdf
  关节数: 7
  肘部frame: left_elbow_link (ID: 50)
  腕部frame: left_wrist_yaw_link (ID: 56)

开始训练（77 epochs）...
==========================================================================================
 Epoch |  Train Loss |    Val Loss |  Elbow(mm) |    End(mm) |  IK RMSE(°) |   Val R² |        LR
------------------------------------------------------------------------------------------
==========================================================================================
肘部位置约束训练
==========================================================================================
改进:
  1. 同时约束肘部位置 (weight=0.5)
  2. 同时约束末端位置 (weight=0.5)
  3. 提高中间关节精度

加载ACCAD+CMU数据集...
加载窗口化数据集: /data0/wwb_data/ygx_data/data_ygx_pose+dof/ACCAD_CMU_merged_training_data.npz
  样本数: 3614699
  窗口大小: 10
  输入维度（机器人角度）: 7
  输出维度（人位姿+机器人角度）: 14
加载窗口化数据集: /data0/wwb_data/ygx_data/data_ygx_pose+dof/ACCAD_CMU_merged_training_data.npz
  样本数: 3614699
  窗口大小: 10
  输入维度（机器人角度）: 7
  输出维度（人位姿+机器人角度）: 14
训练集样本数: 3253229
验证集样本数: 361470
训练集数据增强: False
验证集数据增强: False（始终关闭）

创建模型: elbow_constraint_ik
模型参数量: 1.47M

加载FK模型（支持肘部位置计算）...
✓ Pinocchio模型初始化成功
  URDF: /home/bonuli/xr_teleoperate/assets/g1/g1_body29_hand14.urdf
  关节数: 7
  肘部frame: left_elbow_link (ID: 50)
  腕部frame: left_wrist_yaw_link (ID: 56)

开始训练（77 epochs）...
==========================================================================================
 Epoch |  Train Loss |    Val Loss |  Elbow(mm) |    End(mm) |  IK RMSE(°) |   Val R² |        LR
------------------------------------------------------------------------------------------
==========================================================================================
肘部位置约束训练
==========================================================================================
改进:
  1. 同时约束肘部位置 (weight=0.5)
  2. 同时约束末端位置 (weight=0.5)
  3. 提高中间关节精度

加载ACCAD+CMU数据集...
加载窗口化数据集: /data0/wwb_data/ygx_data/data_ygx_pose+dof/ACCAD_CMU_merged_training_data.npz
  样本数: 3614699
  窗口大小: 10
  输入维度（机器人角度）: 7
  输出维度（人位姿+机器人角度）: 14
加载窗口化数据集: /data0/wwb_data/ygx_data/data_ygx_pose+dof/ACCAD_CMU_merged_training_data.npz
  样本数: 3614699
  窗口大小: 10
  输入维度（机器人角度）: 7
  输出维度（人位姿+机器人角度）: 14
训练集样本数: 3253229
验证集样本数: 361470
训练集数据增强: False
验证集数据增强: False（始终关闭）

创建模型: elbow_constraint_ik
模型参数量: 1.47M

加载FK模型（支持肘部位置计算）...
✓ Pinocchio模型初始化成功
  URDF: /home/bonuli/xr_teleoperate/assets/g1/g1_body29_hand14.urdf
  关节数: 7
  肘部frame: left_elbow_link (ID: 50)
  腕部frame: left_wrist_yaw_link (ID: 56)

开始训练（77 epochs）...
==========================================================================================
