======================================================================
训练 Pieper 准则因果IK模型
======================================================================
核心特性:
  1. Attention学习关节对末端位姿的影响权重
  2. 分别对位置和姿态做FiLM调制
  3. GNN学习关节间因果耦合

加载数据集...
加载窗口化数据集: /home/wsy/Desktop/casual/merged_training_data.npz
  样本数: 3541118
  窗口大小: 10
  输入维度（位姿）: 7
  输出维度（角度）: 7
加载窗口化数据集: /home/wsy/Desktop/casual/merged_training_data.npz
  样本数: 3541118
  窗口大小: 10
  输入维度（位姿）: 7
  输出维度（角度）: 7
训练集样本数: 3187006
验证集样本数: 354112
训练集数据增强: False
验证集数据增强: False（始终关闭）

创建模型: pieper_causal_ik
模型参数量: 2.58M

加载GPU FK模型（用于计算末端位姿）...
✓ 成功加载GPU FK模型
  左臂关节 ID: [16, 17, 18, 19, 20, 21, 22]
加载断点...
从第70 epoch继续

开始训练（300 epochs）...
Epoch [70/300] | Train Loss: 0.000015 | Val Loss: 0.000014 | Train R²: 0.999625 | Val R²: 0.999658 | IK: 0.0001 | FK: 0.000007 | GAP: 0.0001 | LR: 0.001000 | Time: 50.0s
Epoch [71/300] | Train Loss: 0.000021 | Val Loss: 0.000010 | Train R²: 0.999579 | Val R²: 0.999688 | IK: 0.0001 | FK: 0.000012 | GAP: 0.0001 | LR: 0.000999 | Time: 49.9s
Epoch [72/300] | Train Loss: 0.000015 | Val Loss: 0.000011 | Train R²: 0.999620 | Val R²: 0.999681 | IK: 0.0001 | FK: 0.000008 | GAP: 0.0001 | LR: 0.000999 | Time: 50.2s
Epoch [73/300] | Train Loss: 0.000021 | Val Loss: 0.000014 | Train R²: 0.999581 | Val R²: 0.999682 | IK: 0.0001 | FK: 0.000012 | GAP: 0.0001 | LR: 0.000998 | Time: 50.0s
Epoch [74/300] | Train Loss: 0.000012 | Val Loss: 0.000011 | Train R²: 0.999657 | Val R²: 0.999669 | IK: 0.0001 | FK: 0.000005 | GAP: 0.0001 | LR: 0.000997 | Time: 50.1s
Epoch [75/300] | Train Loss: 0.000023 | Val Loss: 0.000011 | Train R²: 0.999570 | Val R²: 0.999689 | IK: 0.0001 | FK: 0.000014 | GAP: 0.0001 | LR: 0.000995 | Time: 49.2s
Epoch [76/300] | Train Loss: 0.000012 | Val Loss: 0.000012 | Train R²: 0.999656 | Val R²: 0.999670 | IK: 0.0001 | FK: 0.000005 | GAP: 0.0001 | LR: 0.000994 | Time: 49.3s
Epoch [77/300] | Train Loss: 0.000013 | Val Loss: 0.000010 | Train R²: 0.999646 | Val R²: 0.999684 | IK: 0.0001 | FK: 0.000006 | GAP: 0.0001 | LR: 0.000992 | Time: 49.0s
Epoch [78/300] | Train Loss: 0.000012 | Val Loss: 0.000011 | Train R²: 0.999649 | Val R²: 0.999672 | IK: 0.0001 | FK: 0.000005 | GAP: 0.0001 | LR: 0.000990 | Time: 48.6s
Epoch [79/300] | Train Loss: 0.000012 | Val Loss: 0.000013 | Train R²: 0.999649 | Val R²: 0.999651 | IK: 0.0001 | FK: 0.000005 | GAP: 0.0001 | LR: 0.000987 | Time: 49.0s
Epoch [80/300] | Train Loss: 0.000012 | Val Loss: 0.000011 | Train R²: 0.999647 | Val R²: 0.999674 | IK: 0.0001 | FK: 0.000005 | GAP: 0.0001 | LR: 0.000985 | Time: 49.0s
Epoch [81/300] | Train Loss: 0.000012 | Val Loss: 0.000013 | Train R²: 0.999648 | Val R²: 0.999654 | IK: 0.0001 | FK: 0.000005 | GAP: 0.0001 | LR: 0.000982 | Time: 49.8s
